PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
gpon_olt-1/2/1,10,BDCMB169596A,trojo,GP1705-2G,ROUTER
gpon_olt-1/2/1,24,BDCMB16FE64A,esmerlo,GP1704-2FC-S,ROUTER
gpon_olt-1/2/1,27,TPLG0D918DA8,jpcejas,XC220-G3v,ROUTER
gpon_olt-1/2/1,33,TPLG30C5CC00,altappero,XC220-G3,ROUTER
gpon_olt-1/2/1,64,BDCMB169532A,mjvillalobo,GP1705-2G,ROUTER
gpon_olt-1/2/1,68,BDCMB16FE66A,abaigorria,GP1704-2FC-S,ROUTER
gpon_olt-1/2/1,72,BDCMB16953DA,maaltamirano,GP1705-2G,ROUTER
gpon_olt-1/2/2,6,ZTEGD2EEA119,sbusinskas2,F6600PV9.0.05,ROUTER
gpon_olt-1/2/2,22,TPLGA236FA88,roluques,XN020-G3v,ROUTER
gpon_olt-1/2/2,27,TPLG30C5CA40,mgmperez,XC220-G3,ROUTER
gpon_olt-1/2/2,28,TPLG84DB4F00,jrabate,XC220-G3,ROUTER
gpon_olt-1/2/3,36,TPLGCEF499D8,jlturme,XC220-G3v,ROUTER
gpon_olt-1/2/4,25,TPLG84DB7A00,emoviedo,XC220-G3,ROUTER
gpon_olt-1/2/4,38,TPLG51013CF8,aalessio,XC220-G3,ROUTER
gpon_olt-1/2/5,16,TPLG30C5AC18,ubheredia,XC220-G3,ROUTER
gpon_olt-1/2/5,60,TPLG0D9191A0,pjcortez,XC220-G3v,ROUTER
gpon_olt-1/2/6,26,TPLGE715E7D0,velrearte,XC220-G3v,ROUTER
gpon_olt-1/2/8,18,TPLG84DB5E18,cogiordano,XC220-G3,ROUTER
gpon_olt-1/2/8,28,TPLG30C58A00,mbhartvig,XC220-G3,ROUTER
gpon_olt-1/2/9,50,HWTCAC8A8AB6,atlopez,EG8041X6-10,ROUTER
gpon_olt-1/2/12,21,TPLG30C56918,argarcia,XC220-G3,ROUTER
gpon_olt-1/2/7,27,TPLG30C5C208,dmbordon,XC220-G3,ROUTER
gpon_olt-1/2/10,29,TPLG84DB5898,mdbustos,XC220-G3,ROUTER
gpon_olt-1/2/10,33,TPLG84DB5DE8,laherrera,XC220-G3,ROUTER
gpon_olt-1/2/10,38,TPLGE7163A40,dgarrido,XC220-G3v,ROUTER
gpon_olt-1/2/11,11,HWTC340AC5A6,sbligorria,EG8141A5,ROUTER
gpon_olt-1/2/13,19,ZTEGD2EE9F2C,caguilera2,F6600PV9.0.05,ROUTER
gpon_olt-1/2/13,26,TPLG84DB68C8,fdpatuzzi,XC220-G3,ROUTER
gpon_olt-1/2/14,3,ZTEGD2EE9E05,cmvillarreal,F6600PV9.0.05,ROUTER
gpon_olt-1/2/14,27,TPLGA236EA90,sevillarreal,XN020-G3v,ROUTER
gpon_olt-1/2/14,33,TPLG30C5A858,laltamirano,XC220-G3,ROUTER
gpon_olt-1/2/15,2,TPLGE71635E0,edpereyra,XC220-G3v,ROUTER
gpon_olt-1/2/15,13,TPLG84DB5D78,olvallez,XC220-G3,ROUTER
gpon_olt-1/2/15,17,TPLGCEF49B50,mdcceballos,XC220-G3v,ROUTER
gpon_olt-1/2/16,20,TPLGE715F320,ajolmedo,XC220-G3v,ROUTER
