PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/0,9,BDCMB169596A,trojo,GP1705-2G,BRIDGE
0/1/0,16,BDCMB16FE66A,abaigorria,GP1704-2FC-S,BRIDGE
0/1/0,44,BDCMB16953DA,maaltamirano,GP1705-2G,BRIDGE
0/1/0,64,BDCMB169532A,mjvillalobo,GP1705-2G,BRIDGE
0/1/0,76,TPLGB5DFFDB0,esosa3,TX-6610,BRIDGE
0/1/0,98,HWTC458753B2,jobredor,EG8021V5,BRIDGE
0/1/0,101,HWTC965F4EB1,acbecerra,EG8021V5,BRIDGE
0/1/0,102,HWTCAF6899B1,hquiroga,EG8021V5,BRIDGE
0/1/0,104,HWTCDAC672B1,enheredia,EG8021V5,BRIDGE
0/1/1,50,HWTCDAC788B1,ebbarroso,EG8021V5,BRIDGE
0/1/1,58,HWTCAF5B50B1,nralvarez2,EG8021V5,BRIDGE
0/1/1,60,HWTCDADB23B1,hreale,EG8021V5,BRIDGE
0/1/1,61,TPLGB5E00198,neahumada2,TX-6610,BRIDGE
0/1/1,63,HWTCDACF4FB1,rmdiaz,EG8021V5,BRIDGE
0/1/1,68,TPLG8BDDDFDB,amichelena,TX-6610,BRIDGE
0/1/1,70,HWTCAF712DB1,yealaniz,EG8021V5,BRIDGE
0/1/1,74,HWTCAF67B8B1,oaromero,EG8021V5,BRIDGE
0/1/2,34,HWTCA3A642B1,jbflores,EG8021V5,BRIDGE
0/1/2,46,TPLG8BDDE772,cescudero3,TX-6610,BRIDGE
0/1/2,61,HWTC87F2B9B4,jstotel,EG8021V5,BRIDGE
0/1/2,62,HWTCA47952B1,cmromero,EG8021V5,BRIDGE
0/1/2,63,HWTCAF6D68B1,dsacosta,EG8021V5,BRIDGE
0/1/2,65,HWTCDAD2DCB1,ptello2,EG8021V5,BRIDGE
0/1/2,67,HWTC87E95FB4,yjolmedo,EG8021V5,BRIDGE
0/1/2,69,HWTCDAC471B1,anbenitez,EG8021V5,BRIDGE
0/1/2,70,HWTC87E8CFB4,mmartinez,EG8021V5,BRIDGE
0/1/3,15,TPLG8BDDE0D5,mlcordoba,TX-6610,BRIDGE
0/1/3,53,HWTC87ED24B4,nbmunoz,EG8021V5,BRIDGE
0/1/3,55,HWTC87F410B4,aagimenez,EG8021V5,BRIDGE
0/1/4,25,TPLG8BDDE6B1,mhaltamirano,TX-6610,BRIDGE
0/1/4,45,HWTCAF6BFBB1,drtoso,EG8021V5,BRIDGE
0/1/4,73,HWTCA46829B1,gacordoba,EG8021V5,BRIDGE
0/1/4,74,HWTCAF5A1CB1,walucero,EG8021V5,BRIDGE
